,Time[s],Speed[mph],Speed[m/s]
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,3.0,1.34112
22,22,5.9,2.6375360000000003
23,23,8.6,3.844544
24,24,11.5,5.140960000000001
25,25,14.3,6.392672000000001
26,26,16.9,7.554976
27,27,17.3,7.733792000000001
28,28,18.1,8.091424000000002
29,29,20.7,9.253728
30,30,21.7,9.700768
31,31,22.4,10.013696
32,32,22.5,10.058399999999999
33,33,22.1,9.879584000000001
34,34,21.5,9.611360000000001
35,35,20.9,9.343136
36,36,20.4,9.119615999999999
37,37,19.8,8.851392
38,38,17.0,7.59968
39,39,14.9,6.660896000000001
40,40,14.9,6.660896000000001
41,41,15.2,6.795007999999999
42,42,15.5,6.92912
43,43,16.0,7.15264
44,44,17.1,7.6443840000000005
45,45,19.1,8.538464000000001
46,46,21.1,9.432544000000002
47,47,22.7,10.147808000000001
48,48,22.9,10.237216
49,49,22.7,10.147808000000001
50,50,22.6,10.103104000000002
51,51,21.3,9.521952
52,52,19.0,8.49376
53,53,17.1,7.6443840000000005
54,54,15.8,7.063232000000001
55,55,15.8,7.063232000000001
56,56,17.7,7.912608
57,57,19.8,8.851392
58,58,21.6,9.656064000000002
59,59,23.2,10.371328
60,60,24.2,10.818368
61,61,24.6,10.997184000000003
62,62,24.9,11.131296
63,63,25.0,11.176
64,64,24.6,10.997184000000003
65,65,24.5,10.95248
66,66,24.7,11.041888
67,67,24.8,11.086592000000001
68,68,24.7,11.041888
69,69,24.6,10.997184000000003
70,70,24.6,10.997184000000003
71,71,25.1,11.220704000000001
72,72,25.6,11.444224000000002
73,73,25.7,11.488928000000001
74,74,25.4,11.354816
75,75,24.9,11.131296
76,76,25.0,11.176
77,77,25.4,11.354816
78,78,26.0,11.623040000000001
79,79,26.0,11.623040000000001
80,80,25.7,11.488928000000001
81,81,26.1,11.667744
82,82,26.7,11.935968
83,83,27.5,12.293600000000001
84,84,28.6,12.785344000000002
85,85,29.3,13.098272
86,86,29.8,13.321792000000002
87,87,30.1,13.455904
88,88,30.4,13.590015999999999
89,89,30.7,13.724128
90,90,30.7,13.724128
91,91,30.5,13.63472
92,92,30.4,13.590015999999999
93,93,30.3,13.545312000000001
94,94,30.4,13.590015999999999
95,95,30.8,13.768832000000002
96,96,30.4,13.590015999999999
97,97,29.9,13.366496
98,98,29.5,13.187680000000002
99,99,29.8,13.321792000000002
100,100,30.3,13.545312000000001
101,101,30.7,13.724128
102,102,30.9,13.813536
103,103,31.0,13.85824
104,104,30.9,13.813536
105,105,30.4,13.590015999999999
106,106,29.8,13.321792000000002
107,107,29.9,13.366496
108,108,30.2,13.500608
109,109,30.7,13.724128
110,110,31.2,13.947648
111,111,31.8,14.215872000000001
112,112,32.2,14.394688000000002
113,113,32.4,14.484096
114,114,32.2,14.394688000000002
115,115,31.7,14.171168000000002
116,116,28.6,12.785344000000002
117,117,25.3,11.310112
118,118,22.0,9.83488
119,119,18.7,8.359648
120,120,15.4,6.884416000000001
121,121,12.1,5.409184
122,122,8.8,3.9339520000000006
123,123,5.5,2.45872
124,124,2.2,0.9834880000000001
125,125,0.0,0.0
126,126,0.0,0.0
127,127,0.0,0.0
128,128,0.0,0.0
129,129,0.0,0.0
130,130,0.0,0.0
131,131,0.0,0.0
132,132,0.0,0.0
133,133,0.0,0.0
134,134,0.0,0.0
135,135,0.0,0.0
136,136,0.0,0.0
137,137,0.0,0.0
138,138,0.0,0.0
139,139,0.0,0.0
140,140,0.0,0.0
141,141,0.0,0.0
142,142,0.0,0.0
143,143,0.0,0.0
144,144,0.0,0.0
145,145,0.0,0.0
146,146,0.0,0.0
147,147,0.0,0.0
148,148,0.0,0.0
149,149,0.0,0.0
150,150,0.0,0.0
151,151,0.0,0.0
152,152,0.0,0.0
153,153,0.0,0.0
154,154,0.0,0.0
155,155,0.0,0.0
156,156,0.0,0.0
157,157,0.0,0.0
158,158,0.0,0.0
159,159,0.0,0.0
160,160,0.0,0.0
161,161,0.0,0.0
162,162,0.0,0.0
163,163,0.0,0.0
164,164,3.3,1.4752319999999999
165,165,6.6,2.9504639999999998
166,166,9.9,4.425696
167,167,13.2,5.9009279999999995
168,168,16.5,7.3761600000000005
169,169,19.8,8.851392
170,170,22.2,9.924287999999999
171,171,24.3,10.863072
172,172,25.8,11.533632
173,173,26.4,11.801855999999999
174,174,25.7,11.488928000000001
175,175,25.1,11.220704000000001
176,176,24.7,11.041888
177,177,25.0,11.176
178,178,25.2,11.265407999999999
179,179,25.4,11.354816
180,180,25.8,11.533632
181,181,27.2,12.159488
182,182,26.5,11.84656
183,183,24.0,10.72896
184,184,22.7,10.147808000000001
185,185,19.4,8.672576
186,186,17.7,7.912608
187,187,17.2,7.689088
188,188,18.1,8.091424000000002
189,189,18.6,8.314944
190,190,20.0,8.940800000000001
191,191,22.2,9.924287999999999
192,192,24.5,10.95248
193,193,27.3,12.204192
194,194,30.5,13.63472
195,195,33.5,14.975840000000002
196,196,36.2,16.182848000000003
197,197,37.3,16.674591999999997
198,198,39.3,17.568672
199,199,40.5,18.10512
200,200,42.1,18.820384
201,201,43.5,19.446240000000003
202,202,45.1,20.161504000000004
203,203,46.0,20.563840000000003
204,204,46.8,20.921471999999998
205,205,47.5,21.2344
206,206,47.5,21.2344
207,207,47.3,21.144992000000002
208,208,47.2,21.100288000000003
209,209,47.0,21.010880000000004
210,210,47.0,21.010880000000004
211,211,47.0,21.010880000000004
212,212,47.0,21.010880000000004
213,213,47.0,21.010880000000004
214,214,47.2,21.100288000000003
215,215,47.4,21.189696
216,216,47.9,21.413216000000002
217,217,48.5,21.68144
218,218,49.1,21.949664000000002
219,219,49.5,22.128480000000003
220,220,50.0,22.352
221,221,50.6,22.620224
222,222,51.0,22.79904
223,223,51.5,23.022560000000002
224,224,52.2,23.335488
225,225,53.2,23.782528000000003
226,226,54.1,24.184864
227,227,54.6,24.408384
228,228,54.9,24.542496
229,229,55.0,24.587200000000003
230,230,54.9,24.542496
231,231,54.6,24.408384
232,232,54.6,24.408384
233,233,54.8,24.497791999999997
234,234,55.1,24.631904000000002
235,235,55.5,24.810720000000003
236,236,55.7,24.900128000000002
237,237,56.1,25.078944
238,238,56.3,25.168352
239,239,56.6,25.302464
240,240,56.7,25.347168
241,241,56.7,25.347168
242,242,56.5,25.25776
243,243,56.5,25.25776
244,244,56.5,25.25776
245,245,56.5,25.25776
246,246,56.5,25.25776
247,247,56.5,25.25776
248,248,56.4,25.213055999999998
249,249,56.1,25.078944
250,250,55.8,24.944831999999998
251,251,55.1,24.631904000000002
252,252,54.6,24.408384
253,253,54.2,24.229568
254,254,54.0,24.14016
255,255,53.7,24.006048000000003
256,256,53.6,23.961344000000004
257,257,53.9,24.095456
258,258,54.0,24.14016
259,259,54.1,24.184864
260,260,54.1,24.184864
261,261,53.8,24.050752
262,262,53.4,23.871936
263,263,53.0,23.69312
264,264,52.6,23.514304
265,265,52.1,23.290784000000002
