,start_velocity,end_velocity,acceleration,duration,time,velocity[m/s]
0,0,0,0.0,11,0.0,0.0
1,0,15,1.04,4,11.0,0.0
2,15,15,0.0,8,15.0,4.166666666666667
3,15,0,-0.83,5,23.0,4.166666666666667
4,0,0,0.0,21,28.0,0.0
5,0,15,0.69,6,49.0,0.0
6,15,32,0.79,6,55.0,4.166666666666667
7,32,32,0.0,24,61.0,8.88888888888889
8,32,0,-0.81,11,85.0,8.88888888888889
9,0,0,0.0,21,96.0,0.0
10,0,15,0.69,6,117.0,0.0
11,15,35,0.51,11,123.0,4.166666666666667
12,35,50,0.46,9,134.0,9.722222222222221
13,50,50,0.0,12,143.0,13.88888888888889
14,50,35,-0.52,8,155.0,13.88888888888889
15,35,35,0.0,15,163.0,9.722222222222221
16,35,0,-0.97,10,178.0,9.722222222222221
17,0,0,0.0,7,188.0,0.0
18,0,0,0.0,11,195.0,0.0
19,0,15,1.04,4,206.0,0.0
20,15,15,0.0,8,210.0,4.166666666666667
21,15,0,-0.83,5,218.0,4.166666666666667
22,0,0,0.0,21,223.0,0.0
23,0,15,0.69,6,244.0,0.0
24,15,32,0.79,6,250.0,4.166666666666667
25,32,32,0.0,24,256.0,8.88888888888889
26,32,0,-0.81,11,280.0,8.88888888888889
27,0,0,0.0,21,291.0,0.0
28,0,15,0.69,6,312.0,0.0
29,15,35,0.51,11,318.0,4.166666666666667
30,35,50,0.46,9,329.0,9.722222222222221
31,50,50,0.0,12,338.0,13.88888888888889
32,50,35,-0.52,8,350.0,13.88888888888889
33,35,35,0.0,15,358.0,9.722222222222221
34,35,0,-0.97,10,373.0,9.722222222222221
35,0,0,0.0,7,383.0,0.0
36,0,0,0.0,11,390.0,0.0
37,0,15,1.04,4,401.0,0.0
38,15,15,0.0,8,405.0,4.166666666666667
39,15,0,-0.83,5,413.0,4.166666666666667
40,0,0,0.0,21,418.0,0.0
41,0,15,0.69,6,439.0,0.0
42,15,32,0.79,6,445.0,4.166666666666667
43,32,32,0.0,24,451.0,8.88888888888889
44,32,0,-0.81,11,475.0,8.88888888888889
45,0,0,0.0,21,486.0,0.0
46,0,15,0.69,6,507.0,0.0
47,15,35,0.51,11,513.0,4.166666666666667
48,35,50,0.46,9,524.0,9.722222222222221
49,50,50,0.0,12,533.0,13.88888888888889
50,50,35,-0.52,8,545.0,13.88888888888889
51,35,35,0.0,15,553.0,9.722222222222221
52,35,0,-0.97,10,568.0,9.722222222222221
53,0,0,0.0,7,578.0,0.0
54,0,0,0.0,11,585.0,0.0
55,0,15,1.04,4,596.0,0.0
56,15,15,0.0,8,600.0,4.166666666666667
57,15,0,-0.83,5,608.0,4.166666666666667
58,0,0,0.0,21,613.0,0.0
59,0,15,0.69,6,634.0,0.0
60,15,32,0.79,6,640.0,4.166666666666667
61,32,32,0.0,24,646.0,8.88888888888889
62,32,0,-0.81,11,670.0,8.88888888888889
63,0,0,0.0,21,681.0,0.0
64,0,15,0.69,6,702.0,0.0
65,15,35,0.51,11,708.0,4.166666666666667
66,35,50,0.46,9,719.0,9.722222222222221
67,50,50,0.0,12,728.0,13.88888888888889
68,50,35,-0.52,8,740.0,13.88888888888889
69,35,35,0.0,15,748.0,9.722222222222221
70,35,0,-0.97,10,763.0,9.722222222222221
71,0,0,0.0,7,773.0,0.0
72,0,0,0.0,20,780.0,0.0
73,0,15,0.69,6,800.0,0.0
74,15,35,0.51,11,806.0,4.166666666666667
75,35,70,0.42,10,817.0,9.722222222222221
76,50,70,0.4,14,827.0,13.88888888888889
77,70,70,0.0,50,841.0,19.444444444444443
78,70,50,-0.69,8,891.0,19.444444444444443
79,50,50,0.0,69,899.0,13.88888888888889
80,50,70,0.43,13,968.0,13.88888888888889
81,70,70,0.0,50,981.0,19.444444444444443
82,70,100,0.24,35,1031.0,19.444444444444443
83,100,100,0.0,30,1066.0,27.77777777777778
84,100,120,0.28,20,1096.0,27.77777777777778
85,120,120,0.0,10,1116.0,33.333333333333336
86,120,80,-0.69,16,1126.0,33.333333333333336
87,80,50,-1.04,8,1142.0,22.22222222222222
88,50,0,-1.39,10,1150.0,13.88888888888889
89,0,0,0.0,20,1160.0,0.0
90,0,0,0.0,0,1180.0,0.0
